Upload	Ul_time	Ul_SINR(db)	Ul_tbSize	Download	Dl_Time	DL_SINR(db)	DL_tbsize
UL	1,7108	41,744	2126	DL	1,6928	43,2127	2126
UL	1,7108	42,0032	2126	DL	1,6928	42,6046	2126
UL	1,7208	42,6077	2126	DL	1,7028	41,8528	2126
UL	1,7208	43,2809	2126	DL	1,7028	42,4072	2126
UL	1,7308	43,1858	2126	DL	1,7128	42,7136	2126
UL	1,7308	43,3508	2126	DL	1,7128	43,2886	2126
UL	1,7408	43,7186	2126	DL	1,7228	42,9206	2126
UL	1,7408	43,5093	2126	DL	1,7228	43,3929	2126
UL	1,7508	43,9708	2126	DL	1,7328	44,0075	2126
UL	1,7508	43,6574	2126	DL	1,7328	43,3305	2126
UL	1,7608	43,726	2126	DL	1,7428	43,732	2126
UL	1,7608	43,5446	2126	DL	1,7428	43,8402	2126
UL	1,7708	44,1648	2126	DL	1,7528	43,507	2126
UL	1,7708	43,3513	2126	DL	1,7528	43,5896	2126
UL	1,7808	43,6221	2126	DL	1,7628	43,8525	2126
UL	1,7808	43,7016	2126	DL	1,7628	43,5027	2126
UL	1,7908	44,57	2126	DL	1,7728	43,5811	2126
UL	1,7908	44,6071	2126	DL	1,7728	43,9288	2126
UL	1,8008	44,3266	2126	DL	1,7828	44,8153	2126
UL	1,8008	44,4021	2126	DL	1,7828	44,6907	2126
UL	1,8108	43,8407	2126	DL	1,7928	44,1039	2126
UL	1,8108	44,0539	2126	DL	1,7928	44,3906	2126
UL	1,8208	44,003	2126	DL	1,8028	44,0801	2126
UL	1,8208	43,9249	2126	DL	1,8028	43,7308	2126
UL	1,8308	43,9468	2126	DL	1,8128	44,1478	2126
UL	1,8308	43,6024	2126	DL	1,8128	43,7839	2126
UL	1,8408	43,604	2126	DL	1,8228	43,7997	2126
UL	1,8408	43,0019	2126	DL	1,8228	43,5336	2126
UL	1,8508	43,2436	2126	DL	1,8328	43,8103	2126
UL	1,8508	43,9511	2126	DL	1,8328	43,0453	2126
UL	1,8608	44,5147	2126	DL	1,8428	43,3515	2126
UL	1,8608	44,9326	2126	DL	1,8428	43,9455	2126
UL	1,8708	45,0185	2126	DL	1,8528	44,9827	2126
UL	1,8708	45,6221	2126	DL	1,8528	45,0865	2126
UL	1,8808	45,3746	2126	DL	1,8628	45,1755	2126
UL	1,8808	44,9927	2126	DL	1,8628	45,775	2126
UL	1,8908	44,4726	2126	DL	1,8728	44,9924	2126
UL	1,8908	44,9088	2126	DL	1,8728	44,8348	2126
UL	1,9008	44,9674	2126	DL	1,8828	44,3743	2126
UL	1,9008	44,9719	2126	DL	1,8828	44,5791	2126
UL	1,9108	45,8206	2126	DL	1,8928	45,0343	2126
UL	1,9108	46,2612	2126	DL	1,8928	44,9623	2126
UL	1,9208	46,6968	2126	DL	1,9028	45,5157	2126
UL	1,9208	47,4653	2126	DL	1,9028	46,1592	2126
UL	1,9308	47,6252	2126	DL	1,9128	46,6633	2126
UL	1,9308	46,9295	2126	DL	1,9128	47,4685	2126
UL	1,9408	46,2153	2126	DL	1,9228	47,6476	2126
UL	1,9408	46,235	2126	DL	1,9228	46,6182	2126
UL	1,9508	46,3086	2126	DL	1,9328	46,2149	2126
UL	1,9508	46,1027	2126	DL	1,9328	46,4629	2126
UL	1,9608	45,6992	2126	DL	1,9428	46,218	2126
UL	1,9608	46,245	2126	DL	1,9428	46,0012	2126
UL	1,9708	46,2434	2126	DL	1,9528	45,6182	2126
UL	1,9708	46,2054	2126	DL	1,9528	45,8848	2126
UL	1,9808	46,0932	2126	DL	1,9628	46,0134	2126
UL	1,9808	46,5362	2126	DL	1,9628	46,4075	2126
UL	1,9908	46,4755	2126	DL	1,9728	45,9865	2126
UL	1,9908	46,2064	2126	DL	1,9728	46,6447	2126
UL	10,0008	46,3086	2126	DL	1,9828	45,9897	2126
UL	10,0008	45,6421	2126	DL	1,9828	46,3648	2126
UL	10,0108	45,8421	2126	DL	1,9928	46,0521	2126
UL	10,0108	46,2194	2126	DL	1,9928	45,8634	2126
UL	10,0208	45,7063	2126	DL	10,0028	45,9068	2126
UL	10,0208	45,217	2126	DL	10,0028	45,9564	2126
UL	10,0308	45,3565	2126	DL	10,0128	45,897	2126
UL	10,0308	45,5333	2126	DL	10,0128	45,1865	2126
UL	10,0408	45,6317	2126	DL	10,0228	45,4246	2126
UL	10,0408	45,3052	2126	DL	10,0228	45,731	2126
UL	10,0508	45,1992	2126	DL	10,0328	45,6134	2126
UL	10,0508	45,2945	2126	DL	10,0328	45,3591	2126
UL	10,0608	45,1521	2126	DL	10,0428	44,928	2126
UL	10,0608	44,4144	2126	DL	10,0428	45,4506	2126
UL	10,0708	44,0126	2126	DL	10,0528	44,9594	2126
UL	10,0708	43,0971	2126	DL	10,0528	44,1407	2126
UL	10,0808	43,8193	2126	DL	10,0628	43,9534	2126
UL	10,0808	43,8855	2126	DL	10,0628	42,862	2126
UL	10,0908	43,6205	2126	DL	10,0728	44,1317	2126
UL	10,0908	43,3702	2126	DL	10,0728	43,8655	2126
UL	10,1008	43,0026	2126	DL	10,0828	43,7845	2126
UL	10,1008	43,8492	2126	DL	10,0828	43,319	2126
UL	10,1108	43,6739	2126	DL	10,0928	43,2793	2126
UL	10,1108	42,5964	2126	DL	10,0928	44,0772	2126
UL	10,1208	42,906	2126	DL	10,1028	43,6331	2126
UL	10,1208	42,7615	2126	DL	10,1028	42,7234	2126
UL	10,1308	42,4979	2126	DL	10,1128	42,8754	2126
UL	10,1308	43,3361	2126	DL	10,1128	42,6772	2126
UL	10,1408	43,966	2126	DL	10,1228	42,6105	2126
UL	10,1408	43,4011	2126	DL	10,1228	43,3641	2126
UL	10,1508	43,5326	2126	DL	10,1328	43,7767	2126
UL	10,1508	43,4431	2126	DL	10,1328	43,3978	2126
UL	10,1608	43,8808	2126	DL	10,1428	43,8371	2126
UL	10,1608	43,2506	2126	DL	10,1428	43,8069	2126
UL	10,1708	42,6792	2126	DL	10,1528	43,7732	2126
