DL/UL	time	tbSize	SINR(dB)
DL	3.1328	2126	413.296
DL	314.279	2126	417.156
DL	3.1428	2126	41.581
DL	315.279	2126	417.693
DL	3.1528	2126	420.203
DL	316.279	2126	414.955
DL	3.1628	2126	42.635
DL	317.279	2126	418.712
DL	3.1728	2126	427.761
DL	318.279	2126	413.636
DL	3.1828	2126	42.361
DL	319.279	2126	407.371
DL	3.1928	2126	419.987
DL	320.279	2126	403.334
DL	3.2028	2126	417.978
DL	321.279	2126	406.207
DL	3.2128	2126	41.613
DL	322.279	2126	416.198
DL	3.2228	2126	418.474
DL	323.279	2126	418.252
DL	3.2328	2126	415.809
DL	324.279	2126	417.566
DL	3.2428	2126	410.576
DL	325.279	2126	420.983
DL	3.2528	2126	411.346
DL	326.279	2126	427.431
DL	3.2628	2126	409.974
DL	327.279	2126	419.155
DL	3.2728	2126	411.939
DL	328.279	2126	41.382
DL	3.2828	2126	41.112
DL	329.279	2126	417.134
DL	3.2928	2126	415.394
DL	330.279	2126	409.577
DL	3.3028	2126	407.901
DL	331.279	2126	409.806
DL	3.3128	2126	409.319
DL	332.279	2126	416.433
DL	3.3228	2126	415.603
DL	333.279	2126	412.599
DL	3.3328	2126	418.875
DL	334.279	2126	422.207
DL	3.3428	2126	416.937
DL	335.279	2126	425.416
DL	3.3528	2126	417.121
DL	336.279	2126	423.551
DL	3.3628	2126	418.786
DL	337.279	2126	423.724
DL	3.3728	2126	427.019
DL	338.279	2126	418.963
DL	3.3828	2126	416.512
DL	339.279	2126	417.014
DL	3.3928	2126	42.542
DL	340.279	2126	423.591
DL	3.4028	2126	42.43
DL	341.279	2126	42.692
DL	3.4128	2126	431.738
DL	342.279	2126	420.901
DL	3.4228	2126	422.209
DL	343.279	2126	423.504
DL	3.4328	2126	42.037
DL	344.279	2126	422.095
DL	3.4428	2126	420.146
DL	345.279	2126	421.552
DL	3.4528	2126	421.252
DL	346.279	2126	426.023
DL	3.4628	2126	412.277
DL	347.279	2126	418.774
DL	3.4728	2126	41.134
DL	348.279	2126	421.518
DL	3.4828	2126	414.767
DL	349.279	2126	429.993
DL	3.4928	2126	418.576
DL	350.279	2126	429.771
DL	3.5028	2126	419.976
DL	351.279	2126	441.212
DL	3.5128	2126	412.523
DL	352.279	2126	439.197
DL	3.5228	2126	410.131
DL	353.279	2126	443.022
DL	3.5328	2126	424.871
DL	354.279	2126	448.844
DL	3.5428	2126	426.355
DL	355.279	2126	456.604
DL	3.5528	2126	421.838
DL	356.279	2126	457.301
DL	3.5628	2126	424.254
DL	357.279	2126	461.348
DL	3.5728	2126	424.655
DL	358.279	2126	462.205
DL	3.5828	2126	427.278
DL	359.279	2126	46.348
DL	3.5928	2126	430.974
DL	360.279	2126	461.768
DL	3.6028	2126	428.226
DL	361.279	2126	467.266
DL	3.6128	2126	430.941
DL	362.279	2126	467.534
DL	3.6228	2126	430.368
DL	363.279	2126	470.099
DL	3.6328	2126	435.045
DL	364.279	2126	469.654
DL	3.6428	2126	426.592
DL	365.279	2126	475.586
DL	3.6528	2126	415.975
DL	366.279	2126	469.725
DL	3.6628	2126	414.788
DL	367.279	2126	470.882
DL	3.6728	2126	413.899
DL	368.279	2126	474.369
DL	3.6828	2126	412.791
DL	369.279	2126	469.995
DL	3.6928	2126	415.011
DL	370.279	2126	46.984
DL	3.7028	2126	405.665
DL	371.279	2126	470.495
DL	3.7128	2126	407.729
DL	372.279	2126	466.663
DL	3.7228	2126	409.822
DL	373.279	2126	464.847
DL	3.7328	2126	410.991
DL	374.279	2126	472.622
DL	3.7428	2126	405.047
DL	375.279	2126	479.357
DL	3.7528	2126	406.845
DL	376.279	2126	484.338
DL	3.7628	2126	403.836
DL	377.279	2126	480.081
DL	3.7728	2126	404.483
DL	378.279	2126	483.932
DL	3.7828	2126	403.724
DL	379.279	2126	481.018
DL	3.7928	2126	396.531
DL	380.279	2126	485.318
DL	3.8028	2126	396.079
DL	381.279	2126	484.285
DL	3.8128	2126	39.099
DL	382.279	2126	482.736
DL	3.8228	2126	388.927
DL	383.279	2126	489.124
DL	3.8328	2126	383.846
DL	384.279	2126	487.032
DL	3.8428	2126	38.033
DL	385.279	2126	483.248
DL	3.8528	2126	377.867
DL	386.279	2126	484.073
DL	3.8628	2126	378.179
DL	387.279	2126	477.966
DL	3.8728	2126	371.272
DL	388.279	2126	482.473
DL	3.8828	2126	380.412
DL	389.279	2126	482.086
DL	3.8928	2126	381.665
DL	390.279	2126	479.841
DL	3.9028	2126	376.793
DL	391.279	2126	473.508
DL	3.9128	2126	381.318
DL	392.279	2126	470.015
DL	3.9228	2126	379.515
DL	393.279	2126	47.235
DL	3.9328	2126	378.358
DL	394.279	2126	473.822
DL	3.9428	2126	384.974
DL	395.279	2126	46.98
DL	3.9528	2126	391.575
DL	396.279	2126	465.514
DL	3.9628	2126	391.846
DL	397.279	2126	46.687
DL	3.9728	2126	395.807
DL	398.279	2126	458.619
DL	3.9828	2126	398.987
DL	399.279	2126	46.434
DL	3.9928	2126	407.456
DL	400.279	2126	462.002
