DL/UL	time	tbSize	SINR(dB)
UL	2.0608	2126	390.495
DL	206.279	2126	385.429
DL	2.0628	2126	391.664
UL	207.079	2126	389.589
UL	2.0708	2126	395.144
DL	207.279	2126	388.104
DL	2.0728	2126	394.252
UL	208.079	2126	389.609
UL	2.0808	2126	398.188
DL	208.279	2126	384.668
DL	2.0828	2126	398.837
UL	209.079	2126	386.098
UL	2.0908	2126	397.859
DL	209.279	2126	38.653
DL	2.0928	2126	397.774
UL	210.079	2126	382.115
UL	2.1008	2126	39.219
DL	210.279	2126	378.398
DL	2.1028	2126	391.384
UL	211.079	2126	380.041
UL	2.1108	2126	395.441
DL	211.279	2126	379.665
DL	2.1128	2126	399.827
UL	212.079	2126	374.424
UL	2.1208	2126	395.242
DL	212.279	2126	370.409
DL	2.1228	2126	395.872
UL	213.079	2126	377.948
UL	2.1308	2126	394.557
DL	213.279	2126	379.817
DL	2.1328	2126	395.474
UL	214.079	2126	383.157
UL	2.1408	2126	394.948
DL	214.279	2126	386.088
DL	2.1428	2126	396.351
UL	215.079	2126	386.415
UL	2.1508	2126	397.233
DL	215.279	2126	386.564
DL	2.1528	2126	396.431
UL	216.079	2126	392.204
UL	2.1608	2126	397.062
DL	216.279	2126	394.259
DL	2.1628	2126	39.731
UL	217.079	2126	393.908
UL	2.1708	2126	391.957
DL	217.279	2126	390.946
DL	2.1728	2126	391.475
UL	218.079	2126	39.283
UL	2.1808	2126	39.111
DL	218.279	2126	388.938
DL	2.1828	2126	391.682
UL	219.079	2126	386.918
UL	2.1908	2126	398.641
DL	219.279	2126	386.916
DL	2.1928	2126	401.381
UL	220.079	2126	389.467
UL	2.2008	2126	406.749
DL	220.279	2126	391.331
DL	2.2028	2126	403.679
UL	221.079	2126	393.883
UL	2.2108	2126	409.061
DL	221.279	2126	393.568
DL	2.2128	2126	408.257
UL	222.079	2126	396.717
UL	2.2208	2126	40.003
DL	222.279	2126	395.896
DL	2.2228	2126	398.269
UL	223.079	2126	400.162
UL	2.2308	2126	400.189
DL	223.279	2126	401.329
DL	2.2328	2126	399.658
UL	224.079	2126	40.24
UL	2.2408	2126	396.698
DL	224.279	2126	406.578
DL	2.2428	2126	392.257
UL	225.079	2126	403.324
UL	2.2508	2126	395.505
DL	225.279	2126	402.682
DL	2.2528	2126	391.888
UL	226.079	2126	407.172
UL	2.2608	2126	388.434
DL	226.279	2126	409.337
DL	2.2628	2126	389.269
UL	227.079	2126	407.141
UL	2.2708	2126	388.163
DL	227.279	2126	406.704
DL	2.2728	2126	38.887
UL	228.079	2126	40.477
UL	2.2808	2126	390.426
DL	228.279	2126	405.681
DL	2.2828	2126	385.936
UL	229.079	2126	404.532
UL	2.2908	2126	386.603
DL	229.279	2126	402.176
DL	2.2928	2126	385.174
UL	230.079	2126	40.342
UL	2.3008	2126	386.262
DL	230.279	2126	400.823
DL	2.3028	2126	384.189
UL	231.079	2126	398.692
UL	2.3108	2126	382.417
DL	231.279	2126	397.721
DL	2.3128	2126	384.283
UL	232.079	2126	395.766
UL	2.3208	2126	381.181
DL	232.279	2126	394.866
DL	2.3228	2126	381.697
UL	233.079	2126	394.131
UL	2.3308	2126	384.607
DL	233.279	2126	393.392
DL	2.3328	2126	386.733
UL	234.079	2126	39.293
UL	2.3408	2126	380.086
DL	234.279	2126	388.386
DL	2.3428	2126	382.663
UL	235.079	2126	388.926
UL	2.3508	2126	383.328
DL	235.279	2126	392.071
DL	2.3528	2126	383.014
UL	236.079	2126	400.167
UL	2.3608	2126	375.633
DL	236.279	2126	397.456
DL	2.3628	2126	374.923
UL	237.079	2126	404.662
UL	2.3708	2126	377.204
DL	237.279	2126	407.007
DL	2.3728	2126	378.646
UL	238.079	2126	398.919
UL	2.3808	2126	376.205
DL	238.279	2126	400.058
DL	2.3828	2126	377.405
UL	239.079	2126	400.653
UL	2.3908	2126	376.756
DL	239.279	2126	397.115
DL	2.3928	2126	378.172
UL	240.079	2126	395.253
UL	2.4008	2126	375.039
DL	240.279	2126	399.756
DL	2.4028	2126	372.979
UL	241.079	2126	399.639
UL	2.4108	2126	375.724
DL	241.279	2126	40.463
DL	2.4128	2126	376.322
UL	242.079	2126	40.257
UL	2.4208	2126	377.434
DL	242.279	2126	399.194
DL	2.4228	2126	378.794
UL	243.079	2126	393.995
UL	2.4308	2126	37.897
DL	243.279	2126	39.314
DL	2.4328	2126	37.645
